;;;Case;CPU;Sensor 3;Core 0;Core 1;+3.3;+5.00;+12.00;-12.00;-5.00;Fan 1;Fan 2;Fan 3;
23/02/2008;15:45:18;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,23 V;4,92 V;12,28 V;1,54 V;2,29 V;5037 RPM;
23/02/2008;15:44:48;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,25 V;4,89 V;12,28 V;1,54 V;2,34 V;5113 RPM;
23/02/2008;15:44:18;2000 MHz;45 C;53 C;0 C;1,66 V;0,00 V;3,25 V;4,89 V;12,28 V;1,63 V;2,34 V;5113 RPM;
23/02/2008;15:43:48;2000 MHz;45 C;53 C;0 C;1,66 V;0,00 V;3,23 V;4,89 V;12,28 V;1,54 V;2,29 V;5037 RPM;
23/02/2008;15:43:18;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,23 V;4,92 V;12,28 V;1,54 V;2,34 V;5113 RPM;
23/02/2008;15:42:48;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,25 V;4,89 V;12,28 V;1,54 V;2,34 V;5037 RPM;
23/02/2008;15:42:18;2000 MHz;45 C;53 C;0 C;1,66 V;0,00 V;3,23 V;4,89 V;12,40 V;1,63 V;2,34 V;5037 RPM;
23/02/2008;15:41:48;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,25 V;4,89 V;12,28 V;1,54 V;2,29 V;5113 RPM;
23/02/2008;15:41:18;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,23 V;4,87 V;12,34 V;1,63 V;2,34 V;5113 RPM;
23/02/2008;15:40:48;2000 MHz;45 C;53 C;0 C;1,68 V;0,00 V;3,23 V;4,89 V;12,28 V;1,46 V;2,29 V;5037 RPM;
